,Unnamed: 0,username,description,id,created_at,name,tier,category,VC,next_token,result_count,followers_count,following_count,tweet_count,listed_count,detected_at
66,66,crosschainpod,web3/crypto podcast focused on the most important topics and trends in the industry—new episodes weekly 🎤  hosted by @katherineykwu & presented by @archetypevc,1.5215571935768822e+18,2022-05-03 18:57:38+00:00,Cross-chain Examination (weekly crypto podcast),Chad,Infra,Scalar Capital,,,535.0,47.0,96.0,8.0,2022-12-16
67,67,ProtocolGuild,"a collective of 128 Ethereum core protocol contributors
enabling distributed funding for distributed systems",1.527379430942724e+18,2022-05-19 20:03:42+00:00,Protocol Guild,Chad,Infra,Scalar Capital,,,2442.0,20.0,179.0,38.0,2022-12-16
68,68,OptimismGov,,1.518603763073917e+18,2022-04-25 14:55:28+00:00,Optimism Governance,Chad,Not Specified,Scalar Capital,,,19022.0,5.0,27.0,143.0,2022-12-16
111,111,cryptobuilder_,bot | growth officer in @hito_xyz | baby (mev-interested) blockchain researcher | @uolondon maths alumni | @CryptoNomads_gm @developer_dao @AlchemyLearn,1.5312645397606728e+18,2022-05-30 13:21:40+00:00,Lisa A. | hito.xyz 🧠,Chad,DeFi,Scalar Capital,,,845.0,3974.0,783.0,6.0,2022-12-16
119,119,sia_qiu,“The Bot”🤖,1.581799080920957e+18,2022-10-17 00:08:05+00:00,Sia.Q,Chad,Not Specified,Scalar Capital,,,2078.0,19.0,31.0,2.0,2022-12-16
124,124,RealZeroSum,,1.5972861603630449e+18,2022-11-28 17:48:02+00:00,Zero Sum,Chad,Not Specified,Scalar Capital,,,1696.0,104.0,0.0,11.0,2022-12-16
126,126,Audiepops88,,1.5982620486006415e+18,2022-12-01 10:25:54+00:00,Audrey,Chad,Not Specified,Scalar Capital,,,1.0,1.0,0.0,0.0,2022-12-16
160,160,angelinooor,Model | NFTs | Mental Health | Insta: angelinooor,1.5170602858443203e+18,2022-04-21 08:39:03+00:00,Angelina 🦋,Chad,Individual,Scalar Capital,,,17885.0,180.0,892.0,27.0,2022-12-16
171,171,AsherHopp,"Army veteran 🇺🇸. 
Austere #Bitcoin scholar. 
Investing in @FusionEnergyCap ⚛️.",1.526023145882198e+18,2022-05-16 02:14:14+00:00,Asher Hopp,Chad,Individual,Scalar Capital,,,417.0,292.0,648.0,4.0,2022-12-16
178,178,HeyItsMeTheDev,"Hey it's me, the dev of #btc and I also made $DBI cause I was bored
@DontBuyInu
https://t.co/yfqJovxyly",1.5766989020650537e+18,2022-10-02 22:21:43+00:00,The Dev,Chad,Individual,Scalar Capital,,,22002.0,14.0,185.0,62.0,2022-12-16
208,208,EMcGee1122,,1.594781000214741e+18,2022-11-21 19:53:54+00:00,Edward McGee,Chad,Not Specified,Scalar Capital,,,2215.0,1.0,0.0,49.0,2022-12-16
220,220,consoledao,ditch discord. come to console. be happy.,1.50998831665707e+18,2022-04-01 20:17:36+00:00,Console 💜 ✨,Chad,Individual,Scalar Capital,,,3769.0,3412.0,2237.0,60.0,2022-12-16
